binary,processes,run,time_s
yee_blocking_mpi,1,1,0.002602
yee_blocking_mpi,1,2,0.002592
yee_blocking_mpi,1,3,0.002581
yee_blocking_mpi,2,1,0.002611
yee_blocking_mpi,2,2,0.002582
yee_blocking_mpi,2,3,0.002749
yee_blocking_mpi,4,1,0.002902
yee_blocking_mpi,4,2,0.001929
yee_blocking_mpi,4,3,0.001655
yee_blocking_mpi,8,1,0.001562
yee_blocking_mpi,8,2,0.001658
yee_blocking_mpi,8,3,0.002184
yee_nonblock_mpi,1,1,0.002477
yee_nonblock_mpi,1,2,0.002489
yee_nonblock_mpi,1,3,0.00245
yee_nonblock_mpi,2,1,0.002537
yee_nonblock_mpi,2,2,0.002545
yee_nonblock_mpi,2,3,0.002539
yee_nonblock_mpi,4,1,0.002721
yee_nonblock_mpi,4,2,0.003193
yee_nonblock_mpi,4,3,0.001556
yee_nonblock_mpi,8,1,0.001488
yee_nonblock_mpi,8,2,0.002122
yee_nonblock_mpi,8,3,0.002332
