binary,threads,run,time_s
yee_naive_omp,1,1,0.01279759407043457
yee_naive_omp,1,2,0.012318611145019531
yee_naive_omp,1,3,0.019975900650024414
yee_naive_omp,2,1,0.0205996036529541
yee_naive_omp,2,2,0.019620418548583984
yee_naive_omp,2,3,0.012007951736450195
yee_naive_omp,4,1,0.01906442642211914
yee_naive_omp,4,2,0.021331787109375
yee_naive_omp,4,3,0.01422739028930664
yee_naive_omp,8,1,0.011851072311401367
yee_naive_omp,8,2,0.012351512908935547
yee_naive_omp,8,3,0.01198267936706543
yee_naive_omp,16,1,0.012173652648925781
yee_naive_omp,16,2,0.012145280838012695
yee_naive_omp,16,3,0.01217508316040039
yee_block_omp,1,1,0.011092185974121094
yee_block_omp,1,2,0.012352466583251953
yee_block_omp,1,3,0.012644529342651367
yee_block_omp,2,1,0.012928247451782227
yee_block_omp,2,2,0.012299776077270508
yee_block_omp,2,3,0.012190103530883789
yee_block_omp,4,1,0.011414289474487305
yee_block_omp,4,2,0.012589693069458008
yee_block_omp,4,3,0.012544631958007812
yee_block_omp,8,1,0.011922359466552734
yee_block_omp,8,2,0.013096094131469727
yee_block_omp,8,3,0.012181997299194336
yee_block_omp,16,1,0.013155221939086914
yee_block_omp,16,2,0.011873245239257812
yee_block_omp,16,3,0.012208700180053711
yee_stride1_omp,1,1,0.060156822204589844
yee_stride1_omp,1,2,0.04038381576538086
yee_stride1_omp,1,3,0.0634152889251709
yee_stride1_omp,2,1,0.0614626407623291
yee_stride1_omp,2,2,0.06317305564880371
yee_stride1_omp,2,3,0.06124114990234375
yee_stride1_omp,4,1,0.06488275527954102
yee_stride1_omp,4,2,0.1007223129272461
yee_stride1_omp,4,3,0.06264448165893555
yee_stride1_omp,8,1,0.06055784225463867
yee_stride1_omp,8,2,0.05996417999267578
yee_stride1_omp,8,3,0.0601809024810791
yee_stride1_omp,16,1,0.058295249938964844
yee_stride1_omp,16,2,0.06320405006408691
yee_stride1_omp,16,3,0.06042051315307617
