binary,threads,run,time_s
yee_block_pthr,1,1,0.009363174438476562
yee_block_pthr,1,2,0.009096622467041016
yee_block_pthr,1,3,0.008924484252929688
yee_block_pthr,2,1,0.010722875595092773
yee_block_pthr,2,2,0.009806156158447266
yee_block_pthr,2,3,0.010005712509155273
yee_block_pthr,4,1,0.009417057037353516
yee_block_pthr,4,2,0.010386943817138672
yee_block_pthr,4,3,0.009537220001220703
yee_block_pthr,8,1,0.009982109069824219
yee_block_pthr,8,2,0.009315729141235352
yee_block_pthr,8,3,0.010320186614990234
yee_stride1_pthr,1,1,0.009389400482177734
yee_stride1_pthr,1,2,0.010396718978881836
yee_stride1_pthr,1,3,0.00913238525390625
yee_stride1_pthr,2,1,0.013686656951904297
yee_stride1_pthr,2,2,0.012488603591918945
yee_stride1_pthr,2,3,0.0118255615234375
yee_stride1_pthr,4,1,0.012398958206176758
yee_stride1_pthr,4,2,0.015009164810180664
yee_stride1_pthr,4,3,0.0158233642578125
yee_stride1_pthr,8,1,0.012151956558227539
yee_stride1_pthr,8,2,0.010587930679321289
yee_stride1_pthr,8,3,0.0153045654296875
yee_stride1_pthr,16,1,0.013615608215332031
yee_stride1_pthr,16,2,0.011480569839477539
yee_stride1_pthr,16,3,0.013275623321533203
